2023-11-09 at 21:43:45 | INFO | payment_check_coroutine : The balance check coroutine has started.
2023-11-09 at 21:43:45 | INFO | payment_check_coroutine : Checking payment at 1076010.968
2023-11-09 at 21:43:45 | INFO | payment_check_coroutine : Check result: False, time: 1076011.625
2023-11-09 at 21:43:47 | INFO | payment_check_coroutine : Checking payment at 1076013.625
2023-11-09 at 21:43:48 | INFO | payment_check_coroutine : Check result: False, time: 1076013.781
2023-11-09 at 21:43:50 | INFO | payment_check_coroutine : Checking payment at 1076015.781
2023-11-09 at 21:43:50 | INFO | payment_check_coroutine : Check result: False, time: 1076015.921
2023-11-09 at 21:43:52 | INFO | payment_check_coroutine : Checking payment at 1076017.921
2023-11-09 at 21:43:52 | INFO | payment_check_coroutine : Check result: False, time: 1076018.078
2023-11-09 at 21:43:54 | INFO | payment_check_coroutine : Checking payment at 1076020.078
2023-11-09 at 21:43:54 | INFO | payment_check_coroutine : Check result: False, time: 1076020.562
2023-11-09 at 21:43:56 | INFO | payment_check_coroutine : Checking payment at 1076022.562
2023-11-09 at 21:43:57 | INFO | payment_check_coroutine : Check result: False, time: 1076022.703
2023-11-09 at 21:43:59 | INFO | payment_check_coroutine : Checking payment at 1076024.703
2023-11-09 at 21:43:59 | INFO | payment_check_coroutine : Check result: False, time: 1076024.843
2023-11-09 at 21:44:01 | INFO | payment_check_coroutine : Checking payment at 1076026.843
2023-11-09 at 21:44:01 | INFO | payment_check_coroutine : Check result: False, time: 1076027.0
2023-11-09 at 21:44:03 | INFO | payment_check_coroutine : Checking payment at 1076029.0
2023-11-09 at 21:44:03 | INFO | payment_check_coroutine : Check result: False, time: 1076029.14
2023-11-09 at 21:44:05 | INFO | payment_check_coroutine : Checking payment at 1076031.14
2023-11-09 at 21:44:05 | INFO | payment_check_coroutine : Check result: False, time: 1076031.281
2023-11-09 at 21:44:07 | INFO | payment_check_coroutine : Checking payment at 1076033.281
2023-11-09 at 21:44:07 | INFO | payment_check_coroutine : Check result: False, time: 1076033.421
2023-11-09 at 21:44:09 | INFO | payment_check_coroutine : Checking payment at 1076035.421
2023-11-09 at 21:44:09 | INFO | payment_check_coroutine : Check result: False, time: 1076035.562
2023-11-09 at 21:44:11 | INFO | payment_check_coroutine : Checking payment at 1076037.562
2023-11-09 at 21:44:12 | INFO | payment_check_coroutine : Check result: False, time: 1076037.718
2023-11-09 at 21:44:14 | INFO | payment_check_coroutine : Checking payment at 1076039.718
2023-11-09 at 21:44:14 | INFO | payment_check_coroutine : Check result: False, time: 1076039.875
2023-11-09 at 21:44:16 | INFO | payment_check_coroutine : Checking payment at 1076041.89
2023-11-09 at 21:44:16 | INFO | payment_check_coroutine : Check result: False, time: 1076042.031
2023-11-09 at 21:44:18 | INFO | payment_check_coroutine : Checking payment at 1076044.031
2023-11-09 at 21:44:18 | INFO | payment_check_coroutine : Check result: False, time: 1076044.265
